Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Lending category,Other groups,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,Alternative conversion factor,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data
CAF,Central African Republic,Central African Republic,Central African Republic,CF,Central African CFA franc,,Sub-Saharan Africa,Low income,CF,Enhanced General Data Dissemination System (e-GDDS),2003,"Multiple Indicator Cluster Survey, 2018/19","Priority survey (PS), 2008",IDA,HIPC,2005,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,,,1993,2017,2005
TCD,Chad,Chad,Republic of Chad,TD,Central African CFA franc,,Sub-Saharan Africa,Low income,TD,Enhanced General Data Dissemination System (e-GDDS),2009,"Multiple Indicator Cluster Survey, 2019","Priority survey (PS), 2011",IDA,HIPC,2005,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM5 (Converted into BPM6 by IMF),Actual,,,,,,1995,2005
CHL,Chile,Chile,Republic of Chile,CL,Chilean peso,,Latin America & Caribbean,High income,CL,Special Data Dissemination Standard Plus (SDDS Plus),2017,,"Integrated household survey (IHS), 2017",IBRD,,Original chained constant price data are rescaled.,2013,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,,General trade system,,Yes,2007,2013,2018,2006
CHN,China,China,People's Republic of China,CN,Chinese yuan,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.",East Asia & Pacific,Upper middle income,CN,Special Data Dissemination Standard (SDDS),2020 (expected),"National Sample Survey on Population Changes, 2014","Integrated household survey (IHS), 2015",IBRD,,2015,,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),1978??3,2011,BPM6,Preliminary,General trade system,Consolidated central government,,2016,2007,2018,2013
COL,Colombia,Colombia,Republic of Colombia,CO,Colombian peso,,Latin America & Caribbean,Upper middle income,CO,Special Data Dissemination Standard (SDDS),2018,"Demographic and Health Survey, 2015","Integrated household survey (IHS), 2017",IBRD,,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),1992??4,2011,BPM6,Actual,Special trade system,Consolidated central government,,2015,2012,2018,2008
COM,Comoros,Comoros,Union of the Comoros,KM,Comorian franc,,Sub-Saharan Africa,Lower middle income,KM,Enhanced General Data Dissemination System (e-GDDS),2017,"Demographic and Health Survey, 2012","Integrated household survey (IHS), 2013",IDA,HIPC,2007,,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),,2011,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,,,,,2013,1999
COG,Congo,"Congo, Rep.",Republic of Congo,CG,Central African CFA franc,,Sub-Saharan Africa,Lower middle income,CG,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2014/15","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2011",Blend,HIPC,2005,,Country uses the 1993 System of National Accounts methodology,Value added at producer prices (VAP),1993,2011,BPM6,Actual,General trade system,Budgetary central government,,2014-2015,2009,2017,2002
CRI,Costa Rica,Costa Rica,Republic of Costa Rica,CR,Costa Rican colon,,Latin America & Caribbean,Upper middle income,CR,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2017",IBRD,,Original chained constant price data are rescaled.,2017,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,Special trade system,Consolidated central government,Yes,2014,2013,2018,2013
CIV,C?te d'Ivoire,C?te d'Ivoire,Republic of C?te d'Ivoire,CI,West African CFA franc,,Sub-Saharan Africa,Lower middle income,CI,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2016","Integrated household survey (IHS), 2015",IDA,HIPC,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,Special trade system,Budgetary central government,,2014-2015,1997,2018,2005
HRV,Croatia,Croatia,Republic of Croatia,HR,Croatian kuna,,Europe & Central Asia,High income,HR,Special Data Dissemination Standard (SDDS),2011,"World Health Survey, 2003","Income survey (IS), 2015",IBRD,,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,Special trade system,Budgetary central government,Yes,"2010. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",1996,2018,2013
